Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
HP,Helmerich & Payne,23.1,66.45,1.27,1.95%,66.98,65.44,1040600,"Friday, July 8, 2016",,
HPE,Hewlett Packard Enterprise Comp,,19.04,0.57,3.09%,19.04,18.58,10898500,"Friday, July 8, 2016",,
HPQ,Hewlett-Packard Company,36.25,13.08,0.23,1.79%,13.15,12.95,8603600,"Friday, July 8, 2016",,
HRB,H&R Block,23,23.59,0.09,0.38%,23.77,23.52,2753300,"Friday, July 8, 2016",,
HRL,Hormel Foods Corp,31.19,36.61,0.17,0.47%,36.71,36.29,3079500,"Friday, July 8, 2016",,
HRS,Harris Corp,38.6,84.2,1.93,2.35%,84.47,82.74,829500,"Friday, July 8, 2016",,
HSIC,Henry Schein Inc,36.51,180.72,2.74,1.54%,180.91,178.43,398800,"Friday, July 8, 2016",,
HST,Host Marriott Financial Trust,7.85,16.76,0.35,2.13%,17.01,16.58,9307200,"Friday, July 8, 2016",,
HSY,Hershey Foods Corp,35.11,110.7,0.66,0.60%,110.86,109.43,1113800,"Friday, July 8, 2016",,
HUM,Humana Inc,37.38,158.15,-4.59,-2.82%,164.1,157.26,5565400,"Friday, July 8, 2016",,
IBM,International Business Machines,83.89,154.46,1.86,1.22%,154.6,153.08,3040500,"Friday, July 8, 2016",,
ICE,Intercontinental Exchange,82.21,256.89,2.93,1.15%,258.55,254.25,469200,"Friday, July 8, 2016",,
IFF,International Flavors & Fragrances,30.19,129.53,1.98,1.55%,129.75,128.42,462800,"Friday, July 8, 2016",,
ILMN,Illumina Inc,26.05,141.25,1.19,0.85%,142.08,140.15,978100,"Friday, July 8, 2016",,
INTC,Intel Corp,14.69,34,0.8,2.41%,34,33.5,23341801,"Friday, July 8, 2016",,
INTU,Intuit Inc,23.79,115.48,1.23,1.08%,116.03,113.98,1507400,"Friday, July 8, 2016",,
IP,International Paper Company,11.86,42.75,0.85,2.03%,42.86,42.19,2274500,"Friday, July 8, 2016",,
IPG,Interpublic Group of Companies,4.05,23.73,0.44,1.89%,23.76,23.33,2952500,"Friday, July 8, 2016",,
IR,Ingersoll-Rand Plc [Ireland],17.72,65.74,1.22,1.89%,65.86,65.14,1216500,"Friday, July 8, 2016",,
IRM,Iron Mountain Inc,24.62,39.85,0.57,1.45%,40.09,39.25,3934100,"Friday, July 8, 2016",,
ISRG,Intuitive Surg Inc,126.38,678.84,3.54,0.52%,680.5,673.86,213800,"Friday, July 8, 2016",,
ITW,Illinois Tool Works Inc,35.15,108.36,2.44,2.30%,108.49,106.69,1630400,"Friday, July 8, 2016",,
IVZ,Invesco Plc,14.5,25.63,0.47,1.87%,25.9,25.49,5498200,"Friday, July 8, 2016",,
JBHT,J B Hunt Transport,26.29,85,2.56,3.11%,85.89,82.7,1140900,"Friday, July 8, 2016",,
JCI,Johnson Controls,18.22,43.84,1.07,2.50%,43.91,43.1,7572100,"Friday, July 8, 2016",,
JEC,Jacobs Engineering Group Inc,48.96,51.25,1.28,2.56%,51.36,50.3,548400,"Friday, July 8, 2016",,
JNJ,Johnson & Johnson,60.13,122.85,0.34,0.28%,123.1,121.96,6129400,"Friday, July 8, 2016",,
JNPR,Juniper Networks,17.35,22.66,0.71,3.23%,22.68,22.15,3597500,"Friday, July 8, 2016",,
JPM,JP Morgan Chase & Co,31.19,61.83,1.25,2.06%,62.17,61.33,16994100,"Friday, July 8, 2016",,
JWN,Nordstrom,13.34,40.32,1.17,2.99%,40.6,39.46,3937500,"Friday, July 8, 2016",,
K,Kellogg Company,43.98,82.64,0.37,0.45%,82.71,81.73,1805700,"Friday, July 8, 2016",,
KEY,Keycorp,8.49,11.09,0.15,1.37%,11.29,11.07,14107399,"Friday, July 8, 2016",,
KHC,Kraft Heinz Co Cmn,,89.85,0.54,0.60%,90.26,89.13,3703500,"Friday, July 8, 2016",,
KIM,Kimco Realty Corp,18.48,31.54,0.32,1.02%,31.6,31.16,2651000,"Friday, July 8, 2016",,
KLAC,K L A-Tencor Corp,21.51,73.75,1.51,2.09%,73.9,72.34,839200,"Friday, July 8, 2016",,
KMB,Kimberly-Clark Corp,53,135.96,1.74,1.30%,136.09,134.02,1519600,"Friday, July 8, 2016",,
KMI,Kinder Morgan,,18.54,0.14,0.76%,18.72,18.35,13043300,"Friday, July 8, 2016",,
KMX,Carmax Inc,7.87,52.67,2.23,4.42%,52.75,50.99,2457100,"Friday, July 8, 2016",,
KO,Coca-Cola Company,45.4,45.38,0.29,0.64%,45.52,45.07,11127000,"Friday, July 8, 2016",,
KORS,Michael Kors Holdings Ltd,,50.23,1.18,2.41%,50.33,49.48,2876800,"Friday, July 8, 2016",,
KR,Kroger Company,26.49,37.86,0.54,1.45%,37.88,37.5,5792400,"Friday, July 8, 2016",,
KSS,Kohl's Corp,36.32,39.29,1.04,2.72%,39.71,38.6,4706600,"Friday, July 8, 2016",,
KSU,Kansas City Southern,19.02,90.2,2.54,2.90%,90.42,88.6,793700,"Friday, July 8, 2016",,
L,Loews Corp,28.9,40.78,0.65,1.62%,40.82,40.43,761800,"Friday, July 8, 2016",,
LB,L Brands Inc,10.14,69.18,1.75,2.60%,69.84,68.28,2047500,"Friday, July 8, 2016",,
LEG,Leggett & Platt Inc,15.29,52.03,0.88,1.72%,52.03,51.36,713400,"Friday, July 8, 2016",,
LEN,Lennar Corp,8.6,49.16,1.67,3.52%,49.3,47.84,4492300,"Friday, July 8, 2016",,
LH,Laboratory Corporation of America Holdin,64.99,135.3,3.33,2.52%,135.63,132.41,1271500,"Friday, July 8, 2016",,
LKQ,LKQ Corp,11.07,33.09,1.12,3.50%,33.16,32.1,2379300,"Friday, July 8, 2016",,
LLL,L-3 Communications Holdings,74.72,149.72,2.92,1.99%,150.03,147.36,416800,"Friday, July 8, 2016",,
LLTC,Linear Technology,22.32,47.31,1.16,2.51%,47.31,46.24,1817000,"Friday, July 8, 2016",,
LLY,Eli Lilly and Company,40.38,79.66,0.34,0.43%,79.9,78.93,3134900,"Friday, July 8, 2016",,
LM,Legg Mason Inc,21.95,29.81,0.98,3.40%,29.94,29.43,1233900,"Friday, July 8, 2016",,
LMT,Lockheed Martin Corp,84.34,251.9,2.13,0.85%,252.3,248.5,1082800,"Friday, July 8, 2016",,
LNC,Lincoln National Corp,18.79,38.88,1.39,3.71%,39.3,38.36,3214000,"Friday, July 8, 2016",,
LNT,Alliant Energy Corp,29.28,40.55,0.7,1.76%,40.56,39.34,2592700,"Friday, July 8, 2016",,
LOW,Lowe's Companies,21.5,82.34,1.86,2.31%,82.42,80.98,5307000,"Friday, July 8, 2016",,
LRCX,Lam Research Corp,21.47,84.88,2.84,3.46%,85.28,82.63,2667100,"Friday, July 8, 2016",,
LUK,Leucadia National Corp,20.06,17.46,0.29,1.69%,17.55,17.25,2749900,"Friday, July 8, 2016",,
LUV,Southwest Airlines Company,8.61,40.54,0.69,1.73%,40.91,40.05,4747500,"Friday, July 8, 2016",,
LVLT,Level 3 Communications,0.69,52.73,1.52,2.97%,52.8,51.54,1575700,"Friday, July 8, 2016",,
LYB,Lyondellbasell Industries Nv,,76.74,2.22,2.98%,77.27,75.29,2928000,"Friday, July 8, 2016",,
M,Macy's Inc,10.44,34.36,0.75,2.23%,34.69,33.94,8148800,"Friday, July 8, 2016",,
MA,Mastercard Inc,144.1,88.56,0.75,0.85%,88.69,87.94,5621700,"Friday, July 8, 2016",,
MAC,Macerich Company,18.22,87.49,1.76,2.05%,87.54,86.28,810600,"Friday, July 8, 2016",,
MAR,Marriot Int Class A,19.52,69.85,1.49,2.18%,70.04,68.84,3686800,"Friday, July 8, 2016",,
MAS,Masco Corp,11.23,32.22,1.02,3.27%,32.3,31.44,4428800,"Friday, July 8, 2016",,
MAT,Mattel Inc,16.06,32.62,0.28,0.87%,32.77,32.44,2715200,"Friday, July 8, 2016",,
MCD,McDonald's Corp,62.38,121.31,0.39,0.32%,121.69,121.08,3809600,"Friday, July 8, 2016",,
MCHP,Microchip Technology,19.49,51.87,1.47,2.92%,51.93,50.77,1561000,"Friday, July 8, 2016",,
MCK,Mckesson Corp,38.85,192.79,1.59,0.83%,193.37,191.87,1491100,"Friday, July 8, 2016",,
MCO,Moody's Corp,20.66,96.73,2.5,2.65%,97.05,94.94,1007300,"Friday, July 8, 2016",,
MDLZ,Mondelez Intl Cmn A,26.93,46.1,0.93,2.06%,46.11,45.08,8490300,"Friday, July 8, 2016",,
MDT,Medtronic Inc,31.51,88.36,0.87,0.99%,88.56,87.52,4398400,"Friday, July 8, 2016",,
MET,Metlife Inc,35.27,39.2,0.93,2.43%,39.55,38.86,8550100,"Friday, July 8, 2016",,
MHK,Mohawk Industries,43.01,194.2,5,2.64%,195.78,191.23,420600,"Friday, July 8, 2016",,
MJN,Mead Johnson Nutrition Company,,89.36,1.43,1.63%,89.48,87.59,1679700,"Friday, July 8, 2016",,
MKC,Mccormick & Company Inc,32.18,106.96,1.05,0.99%,107.03,105.16,868300,"Friday, July 8, 2016",,
MLM,Martin Marietta Materials,98.75,196.7,1.35,0.69%,198.23,195.71,625100,"Friday, July 8, 2016",,
MMC,Marsh & Mclennan Companies,24.17,67.17,0.37,0.55%,67.37,66.74,7379600,"Friday, July 8, 2016",,
MMM,3M Company,57.55,177.12,2.25,1.29%,177.79,175.82,2726500,"Friday, July 8, 2016",,
MNK,Mallinckrodt Plc Ordinary Share,,62.29,0.82,1.33%,62.53,60.97,822400,"Friday, July 8, 2016",,
MNST,Monster Beverage Cp,33.02,161.5,0.38,0.24%,162.19,160.99,802500,"Friday, July 8, 2016",,
MO,Altria Group,15.18,69.83,0.53,0.76%,69.89,68.89,5339500,"Friday, July 8, 2016",,
MON,Monsanto Company,70.48,102.68,2.04,2.03%,103.19,100.8,3424300,"Friday, July 8, 2016",,
MOS,Mosaic Company,35.18,25.48,0.49,1.96%,25.6,24.99,4398600,"Friday, July 8, 2016",,
MPC,Marathon Petroleum Corp,,36.4,0.92,2.59%,36.87,35.43,5719300,"Friday, July 8, 2016",,
MRK,Merck & Company,30.46,59.35,0.57,0.97%,59.57,58.8,9479399,"Friday, July 8, 2016",,
MRO,Marathon Oil Corp,27.5,14.92,0.18,1.22%,15.17,14.68,17320100,"Friday, July 8, 2016",,
MS,Morgan Stanley,16.01,26.37,0.68,2.65%,26.43,26.03,14141600,"Friday, July 8, 2016",,
MSFT,Microsoft Corp,19.53,52.3,0.92,1.79%,52.36,51.55,28391000,"Friday, July 8, 2016",,
MSI,Motorola Solutions,4.45,66.38,1.33,2.04%,66.54,65.5,923500,"Friday, July 8, 2016",,
MTB,M&T Bank Corp,58.74,115.94,1.74,1.52%,116.74,115.38,711200,"Friday, July 8, 2016",,
MU,Micron Technology,2.65,12.62,0.42,3.44%,12.72,12.38,27954701,"Friday, July 8, 2016",,
MUR,Murphy Oil Corp,44.34,30.66,0.66,2.20%,31.04,29.83,3039600,"Friday, July 8, 2016",,
MYL,Mylan Nv Ord Shs,9.93,44.54,0.84,1.92%,44.79,43.8,2490600,"Friday, July 8, 2016",,
NAVI,Navient Cp Cmn,,12.69,0.54,4.44%,12.73,12.24,2544700,"Friday, July 8, 2016",,
NBL,Noble Energy Inc,49.52,35.98,-0.15,-0.42%,36.91,35.51,2996600,"Friday, July 8, 2016",,
NDAQ,Nasdaq Inc. Cmn Stk,24.48,65.88,0.96,1.48%,66.1,65.23,830100,"Friday, July 8, 2016",,
NEE,Nextera Energy,,129.93,1.6,1.25%,129.98,126.66,1989100,"Friday, July 8, 2016",,
NEM,Newmont Mining Corp,40.13,41.14,0.18,0.44%,41.39,40.21,10809600,"Friday, July 8, 2016",,
NFLX,Netflix Inc,29.52,97.06,1.96,2.06%,97.41,95.3,8334300,"Friday, July 8, 2016",,
NFX,Newfield Exploration Company,19.85,43.82,1.05,2.45%,43.94,42.59,1831400,"Friday, July 8, 2016",,
NI,NiSource Inc,11,26.13,0.09,0.35%,26.14,25.64,3961300,"Friday, July 8, 2016",,
NKE,Nike Inc,50.95,56.72,0.8,1.43%,56.82,56.09,8645300,"Friday, July 8, 2016",,
NLSN,Nielsen Holdings Plc,,52.87,0.62,1.19%,53.03,52.64,1656200,"Friday, July 8, 2016",,
NOC,Northrop Grumman Corp,45.71,221.97,1.47,0.67%,222.19,220.3,1796100,"Friday, July 8, 2016",,
NOV,National-Oilwell,24.54,32.59,0.9,2.84%,32.85,32.12,3235700,"Friday, July 8, 2016",,
NRG,NRG Energy,23.28,15.07,0.51,3.50%,15.07,14.68,3921300,"Friday, July 8, 2016",,
NSC,Norfolk Southern Corp,46.91,86.42,2.38,2.83%,86.94,84.67,2131400,"Friday, July 8, 2016",,
NTAP,Netapp Inc,14.01,24.54,0.6,2.51%,24.58,24.07,2521200,"Friday, July 8, 2016",,
NTRS,Northern Trust Corp,52,64.53,1.01,1.59%,65.4,64.17,1420600,"Friday, July 8, 2016",,
NUE,Nucor Corp,46.95,53.19,1.68,3.26%,53.32,51.88,3674000,"Friday, July 8, 2016",,
NVDA,Nvidia Corporation,8.07,50.85,1.96,4.01%,51.09,49.22,12046800,"Friday, July 8, 2016",,
NWL,Newell Rubbermaid Inc,9.8,48.86,0.75,1.56%,49.2,48.43,3488200,"Friday, July 8, 2016",,
NWS,News Cp Cl B Cmn ST,,12.04,0.26,2.21%,12.14,11.92,1173900,"Friday, July 8, 2016",,
NWSA,News Cp Cl A Cmn ST,,11.67,0.31,2.73%,11.72,11.44,5229800,"Friday, July 8, 2016",,
O,Realty Income Corp,23.26,69.91,0.77,1.11%,69.96,68.25,1957700,"Friday, July 8, 2016",,
OI,Owens-Illinois,27.29,17.44,0.5,2.95%,17.55,17.12,2113200,"Friday, July 8, 2016",,
OKE,Oneok Inc,29.23,47.36,0.37,0.79%,47.81,47.01,1920500,"Friday, July 8, 2016",,
OMC,Omnicom Group Inc,26.9,83.12,0.81,0.98%,83.26,82.49,1308700,"Friday, July 8, 2016",,
ORCL,Oracle Corp,17.64,40.87,0.34,0.84%,41.18,40.74,14235500,"Friday, July 8, 2016",,
ORLY,O'Reilly Automotive,30.59,280.61,5.33,1.94%,280.81,276.09,573000,"Friday, July 8, 2016",,
OXY,Occidental Petroleum Corp,60.61,76.13,0.68,0.90%,76.5,75.36,3804200,"Friday, July 8, 2016",,
PAYX,Paychex Inc,26.31,61.33,0.74,1.22%,61.49,60.73,2690300,"Friday, July 8, 2016",,
PBCT,People's United Finl,17.45,14.83,0.18,1.23%,14.97,14.61,3445100,"Friday, July 8, 2016",,
PBI,Pitney Bowes Inc,25.78,17.8,0.48,2.77%,17.83,17.51,1211500,"Friday, July 8, 2016",,
PCAR,Paccar Inc,28.61,52.12,1.37,2.70%,52.3,50.94,3447900,"Friday, July 8, 2016",,
PCG,Pacific Gas & Electric Co,38.49,64.83,0.43,0.67%,64.85,63.47,2813900,"Friday, July 8, 2016",,
PCLN,Priceline Group,74.27,1329.46,32.2,2.48%,1330.62,1304.22,712900,"Friday, July 8, 2016",,
PDCO,Patterson Companies,18.77,49.83,0.74,1.51%,49.85,49.19,696300,"Friday, July 8, 2016",,
PEG,Public Service Enterprise Group Inc,29,46.14,0.59,1.30%,46.15,45.05,2854500,"Friday, July 8, 2016",,
PEP,Pepsico Inc,54.93,108.27,0.78,0.73%,108.5,107.32,6051700,"Friday, July 8, 2016",,
PFE,Pfizer Inc,17.88,36.12,0.35,0.98%,36.19,35.7,17792000,"Friday, July 8, 2016",,
PFG,Principal Financial Group Inc,22.89,41.59,1.41,3.51%,41.68,40.94,1491900,"Friday, July 8, 2016",,
PG,Procter & Gamble Company,61.69,85.77,0.94,1.11%,85.9,84.77,6827300,"Friday, July 8, 2016",,
PGR,Progressive Corp,14.83,33.69,0.55,1.66%,33.74,33.1,3132100,"Friday, July 8, 2016",,
PH,Parker-Hannifin Corp,43.19,111.33,3.11,2.87%,111.39,109.28,1152900,"Friday, July 8, 2016",,
PHM,Pultegroup,11.09,20.48,0.51,2.55%,20.67,20.17,4054000,"Friday, July 8, 2016",,
PKI,Perkinelmer,13.93,53.95,1.36,2.59%,54.04,53.01,653800,"Friday, July 8, 2016",,
PLD,Prologis Inc,24,49.55,0.8,1.64%,49.6,49,2862200,"Friday, July 8, 2016",,
PM,Philip Morris International Inc,43.47,103.09,1.31,1.29%,103.16,101.75,3403800,"Friday, July 8, 2016",,
PNC,PNC Bank,48.49,80.62,1.13,1.42%,81.35,80.45,3745000,"Friday, July 8, 2016",,
PNR,Pentair Ltd,23.91,61.43,2.11,3.56%,61.54,59.73,1192700,"Friday, July 8, 2016",,
PNW,Pinnacle West Capital Corp,32.48,81.17,0.22,0.27%,81.19,79.97,1547100,"Friday, July 8, 2016",,
PPG,PPG Industries,42.45,106.32,3.29,3.19%,106.61,103.98,1649100,"Friday, July 8, 2016",,
PPL,PPL Corp,30.65,37.46,0.49,1.33%,37.48,36.66,3948300,"Friday, July 8, 2016",,
PRGO,Perrigo Company,32.4,93.73,0.65,0.70%,93.91,92.85,881900,"Friday, July 8, 2016",,
PRU,Prudential Financial Inflation Retail,30.29,70.99,1.95,2.82%,71.33,70,2057500,"Friday, July 8, 2016",,
PSA,Public Storage,79.5,257.34,3.56,1.40%,257.71,253.77,912700,"Friday, July 8, 2016",,
PSX,Phillips 66 Common Stock,,74.85,0.58,0.78%,75.47,74.06,4058200,"Friday, July 8, 2016",,
PVH,Phillips-Van Heusen Corp,20.64,97.32,2.41,2.54%,98.2,95.8,970400,"Friday, July 8, 2016",,
PWR,Quanta Services,19.91,24.36,0.7,2.96%,24.43,23.9,1897900,"Friday, July 8, 2016",,
PX,Praxair,59.77,114.74,2.9,2.59%,114.97,111.89,1024000,"Friday, July 8, 2016",,
PXD,Pioneer Natural Resources Co,16.37,153.72,4.49,3.01%,153.94,149.92,1911100,"Friday, July 8, 2016",,
PYPL,Paypal Holdings,,37.36,1.04,2.86%,37.46,36.66,6828800,"Friday, July 8, 2016",,
QCOM,Qualcomm Inc,35.65,54.19,1.26,2.38%,54.33,53.32,6853800,"Friday, July 8, 2016",,
QRVO,Qorvo Inc. Cmn,,56.02,1.65,3.03%,56.25,54.7,1084500,"Friday, July 8, 2016",,
R,Ryder System,39.53,64.64,2.52,4.06%,64.91,62.7,692400,"Friday, July 8, 2016",,
RAI,Reynolds American Inc,40.42,53.13,0.16,0.30%,53.17,52.48,4563400,"Friday, July 8, 2016",,
RCL,Royal Caribbean Cruises Ltd,13.93,68.38,1.59,2.38%,68.97,67.44,1683600,"Friday, July 8, 2016",,
REGN,Regeneron Pharmaceutical,18.42,378.35,6.9,1.86%,378.85,370.21,692800,"Friday, July 8, 2016",,
RF,Regions Financial Corp,8.12,8.44,0.19,2.30%,8.53,8.37,23632600,"Friday, July 8, 2016",,
RHI,Robert Half International Inc,21.09,38.66,0.88,2.33%,39.21,38.19,1445100,"Friday, July 8, 2016",,
RHT,Red Hat Inc,13.06,72.69,1.27,1.78%,72.92,71.91,1402500,"Friday, July 8, 2016",,
RIG,Transocean Inc,47.98,12.14,0.18,1.51%,12.27,11.76,15592399,"Friday, July 8, 2016",,
RL,Ralph Lauren Corp,46.65,93.25,1.49,1.62%,93.8,92.26,831000,"Friday, July 8, 2016",,
ROK,Rockwell Automation Inc,33,115.7,2.73,2.42%,115.95,113.76,691200,"Friday, July 8, 2016",,
ROP,Roper Industries,43.59,170.04,2.77,1.66%,170.57,168.62,399700,"Friday, July 8, 2016",,
ROST,Ross Stores Inc,29.77,58.19,1.63,2.88%,58.22,56.69,2466100,"Friday, July 8, 2016",,
RRC,Range Resources Corp,34.6,44.13,1.58,3.71%,44.91,43.36,3564600,"Friday, July 8, 2016",,
RSG,Republic Services,24.99,52.56,0.47,0.90%,52.66,51.95,1114300,"Friday, July 8, 2016",,
RTN,Raytheon Company,51.19,138.49,1.55,1.13%,138.67,136.64,1371300,"Friday, July 8, 2016",,
SBUX,Starbucks Corp,9.41,56.51,-0.4,-0.70%,57,56.36,12655000,"Friday, July 8, 2016",,
SCG,Scana Corp,35.65,75.08,0.85,1.15%,75.16,73.32,1125900,"Friday, July 8, 2016",,
SCHW,The Charles Schwab Corp,16.05,25.73,0.47,1.86%,26.11,25.61,15379900,"Friday, July 8, 2016",,
SE,Spectra Energy Corp,15.79,36.36,0.34,0.94%,36.5,36.14,3450900,"Friday, July 8, 2016",,
SEE,Sealed Air Corp,15.21,47.03,1.34,2.93%,47.16,46.21,1803800,"Friday, July 8, 2016",,
SHW,Sherwin-Williams Company,59.86,306.52,4.42,1.46%,307.96,303.7,625200,"Friday, July 8, 2016",,
SIG,Signet Jewelers Ltd,8.37,84.23,1.76,2.13%,84.71,82.47,984100,"Friday, July 8, 2016",,
SJM,J.M. Smucker Company,43,154.08,0.87,0.57%,154.48,152.84,883600,"Friday, July 8, 2016",,
SLB,Schlumberger N.V.,42.75,78.74,1.04,1.34%,78.97,78.12,4217300,"Friday, July 8, 2016",,
SLG,SL Green Realty Corp,25.74,105.98,3.42,3.33%,106.06,103.38,641400,"Friday, July 8, 2016",,
SNA,Snap-On Inc,39,160.16,2.91,1.85%,160.32,158.32,485000,"Friday, July 8, 2016",,
SNI,Scripps Ntwrks Int A,22,64.41,1.16,1.83%,64.65,63.21,935200,"Friday, July 8, 2016",,
SO,Southern Company,37,54.14,0.48,0.89%,54.17,52.95,5985800,"Friday, July 8, 2016",,
SPG,Simon Property Group,53.36,219.56,3.97,1.84%,219.75,216.03,1152800,"Friday, July 8, 2016",,
SPGI,S&P Global Inc,23.23,108.87,1.56,1.45%,109.3,108.23,1221000,"Friday, July 8, 2016",,
SPLS,Staples Inc,18.24,8.85,0.28,3.27%,8.88,8.61,6386200,"Friday, July 8, 2016",,
SRCL,Stericycle Inc,52.02,104.7,2.64,2.59%,104.78,102.49,477200,"Friday, July 8, 2016",,
SRE,Sempra Energy,42.73,114.11,1.05,0.93%,114.22,112.01,1386300,"Friday, July 8, 2016",,
STI,Suntrust Banks,29.95,41.44,0.74,1.82%,41.88,41.21,4554200,"Friday, July 8, 2016",,
STJ,St. Jude Medical,33.06,80.58,0.43,0.54%,80.82,80.14,1186600,"Friday, July 8, 2016",,
STT,State Street Corp,39.52,53.23,1.19,2.29%,53.42,52.88,2554000,"Friday, July 8, 2016",,
STX,Seagate Tech Ord Shs,4.55,24.01,0.28,1.18%,24.21,23.51,6370400,"Friday, July 8, 2016",,
STZ,Constellation Brands Inc,15.82,165.99,-0.02,-0.01%,167.28,165.25,1017000,"Friday, July 8, 2016",,
SWK,Stanley Black & Decker Inc,34.79,114.97,2,1.77%,115.36,113.83,1046700,"Friday, July 8, 2016",,
SWKS,Skyworks Solutions,5.55,62.91,2.02,3.32%,63.15,61.52,2299100,"Friday, July 8, 2016",,
SWN,Southwestern Energy Company,29.4,12.87,0.54,4.38%,13,12.48,24530299,"Friday, July 8, 2016",,
SYF,Synchrony Financial,,27.31,1.29,4.96%,27.48,27,12653000,"Friday, July 8, 2016",,
SYK,Stryker Corp,40.47,122.29,1.26,1.04%,122.4,121.07,1283000,"Friday, July 8, 2016",,
SYMC,Symantec Corporation,13.59,20.7,0.26,1.27%,20.88,20.44,7467200,"Friday, July 8, 2016",,
SYY,Sysco Corp,23.01,51.59,0.4,0.78%,51.7,51.16,5515000,"Friday, July 8, 2016",,
T,AT&T Inc,28.74,42.61,0.31,0.73%,42.69,41.7,28443699,"Friday, July 8, 2016",,
TAP,Molson Coors Brewing Company,48.71,102.56,2.71,2.71%,102.66,100.41,1566100,"Friday, July 8, 2016",,
TDC,Teradata Corp,14.99,25.94,0.71,2.81%,26.09,25.46,1122900,"Friday, July 8, 2016",,
TDG,Transdigm Group Inc,33.62,269.81,7.35,2.80%,270.08,264.23,610700,"Friday, July 8, 2016",,
TEL,Te Connectivity Ltd,16.49,57.53,1.11,1.97%,57.75,56.53,1496000,"Friday, July 8, 2016",,
TGNA,Tegna Inc,8.13,23.64,0.24,1.03%,23.96,23.61,1906300,"Friday, July 8, 2016",,
TGT,Target Corp,34.64,71.31,1.22,1.74%,71.57,70.46,4675100,"Friday, July 8, 2016",,
TIF,Tiffany & Co,23.93,61.35,1.82,3.06%,61.43,59.73,1869100,"Friday, July 8, 2016",,
TJX,Tjx Companies,20.41,78.96,1.69,2.19%,79,77.71,2862200,"Friday, July 8, 2016",,
TMK,Torchmark Corp,45.45,61.32,0.78,1.29%,61.39,60.85,715200,"Friday, July 8, 2016",,
TMO,Thermo Fisher Scientific Inc,34.21,152.69,3.63,2.44%,153.42,150.36,1153700,"Friday, July 8, 2016",,
TRIP,Tripadvisor Inc,,67.13,1.52,2.32%,67.46,66.08,1495800,"Friday, July 8, 2016",,
TROW,T Rowe Price Group,35.43,73.24,1.65,2.30%,73.29,72.6,1357800,"Friday, July 8, 2016",,
TRV,The Travelers Companies Inc,45.26,118.08,0.57,0.49%,118.43,117.55,1197300,"Friday, July 8, 2016",,
TSCO,Tractor Supply Co,36.89,93.69,1.4,1.52%,93.92,92.3,919100,"Friday, July 8, 2016",,
TSN,Tyson Foods,8.81,68.92,1.26,1.86%,68.96,67.56,2405800,"Friday, July 8, 2016",,
TSO,Tesoro Petroleum Corp,13.05,72.72,2.71,3.87%,73.4,70.21,2480900,"Friday, July 8, 2016",,
TSS,Total System Services,14,54.01,1.4,2.66%,54.05,52.89,911900,"Friday, July 8, 2016",,
TWX,Time Warner Inc,10.06,77.96,1.85,2.43%,78.11,76.5,5302900,"Friday, July 8, 2016",,
TXN,Texas Instruments,15.5,63.27,1.5,2.43%,63.28,62.05,5345200,"Friday, July 8, 2016",,
TXT,Textron Inc,14.05,36.99,1.28,3.58%,37,36.33,1971200,"Friday, July 8, 2016",,
TYC,Tyco International Ltd,22.1,42.77,1.04,2.49%,42.83,40.32,4984100,"Friday, July 8, 2016",,
UA,Under Armour,24.07,40.43,-0.09,-0.22%,40.84,40.13,5008700,"Friday, July 8, 2016",,
UA.C,Under Armour Inc. Class C Comm,,36.78,-0.1,-0.27%,37.1,36.37,700200,"Friday, July 8, 2016",,
UAL,United Continental Holdings,11.08,41.48,1.39,3.47%,41.73,40.7,5261000,"Friday, July 8, 2016",,
UDR,United Dominion Realty Trust,14.25,37.09,0.48,1.31%,37.22,36.76,1580800,"Friday, July 8, 2016",,
UHS,Universal Health Services,37.72,137.16,2.42,1.80%,137.39,135.4,536400,"Friday, July 8, 2016",,
ULTA,Ulta Salon Cosmetic,8.31,250.82,3.53,1.43%,253.11,247.51,742500,"Friday, July 8, 2016",,
UNH,Unitedhealth Group Inc,26.7,141.27,0.47,0.33%,141.78,139.55,3605500,"Friday, July 8, 2016",,
UNM,Unumprovident Corp,18.45,31.2,0.72,2.36%,31.35,30.84,2075100,"Friday, July 8, 2016",,
UNP,Union Pacific Corp,47.93,90.69,2.66,3.02%,91.29,88.47,6448300,"Friday, July 8, 2016",,
UPS,United Parcel Service,55.32,109.52,1.67,1.55%,109.85,108.44,2445700,"Friday, July 8, 2016",,
URBN,Urban Outfitters Inc,,29.09,1.03,3.67%,29.17,28.26,1699300,"Friday, July 8, 2016",,
URI,United Rentals,,67.44,2.81,4.35%,67.6,65.59,1274600,"Friday, July 8, 2016",,
USB,U.S. Bancorp,,40.09,0.86,2.19%,40.26,39.84,6015100,"Friday, July 8, 2016",,
UTX,United Technologies Corp,,103.66,1.69,1.66%,103.74,102.57,3502900,"Friday, July 8, 2016",,
V,Visa Inc,,76.42,1.91,2.56%,76.55,74.79,10974699,"Friday, July 8, 2016",,
VAR,Varian Medical Systems,,84.99,1.17,1.40%,85.09,84.06,564700,"Friday, July 8, 2016",,
VFC,V.F. Corp,,64.05,1.31,2.09%,64.4,63.22,1751900,"Friday, July 8, 2016",,
VIAB,Viacom Inc Cl B,,45.2,2.16,5.02%,45.35,43.43,5876000,"Friday, July 8, 2016",,
