Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
AYI,Acuity Brands Inc,35.36,264.62,10.99,4.33%,265.1,255.14,528600,"Friday, July 8, 2016",,648.36%
AZO,Autozone,138.94,815.02,15.36,1.92%,815.45,801.85,217300,"Friday, July 8, 2016",,486.60%
BA,Boeing Company,42.8,130.09,2.92,2.30%,130.46,127.66,3597800,"Friday, July 8, 2016",,203.95%
BAC,Bank of America Corp,13.92,13.17,0.16,1.23%,13.32,13.11,92676492,"Friday, July 8, 2016",,-5.39%
BAX,Baxter International Inc,53.83,46.65,0.53,1.15%,46.67,46.17,3256700,"Friday, July 8, 2016",,-13.34%
BBBY,Bed Bath & Beyond,25.09,44.46,1.07,2.47%,44.57,43.48,1849700,"Friday, July 8, 2016",,77.20%
BBT,BB&T Corp,27.39,35.22,0.45,1.29%,35.59,35.14,3648600,"Friday, July 8, 2016",,28.59%
BBY,Best Buy Co,27.96,30.95,0.35,1.14%,31.21,30.7,3696400,"Friday, July 8, 2016",,10.69%
BCR,C.R. Bard,84.5,239,1.2,0.50%,239.34,236.43,505800,"Friday, July 8, 2016",,182.84%
BDX,Becton Dickinson and Company,68.59,175.64,2.47,1.43%,176.24,172.9,891800,"Friday, July 8, 2016",,156.07%
BEN,Franklin Resources,63.86,33.98,1.38,4.23%,34.01,32.94,3337300,"Friday, July 8, 2016",,-46.79%
BF.B,Brown Forman Inc B,,98.27,1.18,1.22%,98.31,96.98,473600,"Friday, July 8, 2016",,#DIV/0!
BHI,Baker Hughes Inc,32.18,43.69,0.15,0.34%,44.69,43.17,3525200,"Friday, July 8, 2016",,35.77%
BIIB,Biogen Inc Cmn,47.49,251.3,4.03,1.63%,251.78,246.11,1296400,"Friday, July 8, 2016",,429.16%
BK,Bank of New York Mellon Corp,28.35,38.49,0.73,1.93%,38.54,38.11,4742800,"Friday, July 8, 2016",,35.77%
BLK,Blackrock,133,345.2,10.09,3.01%,345.39,339.04,533800,"Friday, July 8, 2016",,159.55%
BLL,Ball Corp,42.24,71.62,0.8,1.13%,71.99,71.15,2455400,"Friday, July 8, 2016",,69.55%
BMY,Bristol-Myers Squibb Company,23.25,75.28,1.2,1.62%,75.72,74,5428100,"Friday, July 8, 2016",,223.78%
BRK.B,Berkshire Hath Hld B,,143.65,1.74,1.23%,143.74,142.72,3718100,"Friday, July 8, 2016",,#DIV/0!
BSX,Boston Scientific Corp,7.72,23.9,0.24,1.01%,23.97,23.66,6861100,"Friday, July 8, 2016",,209.59%
BWA,Borgwarner Inc,21.84,30.57,1.15,3.91%,30.82,29.62,3243800,"Friday, July 8, 2016",,39.97%
BXP,Boston Properties,55.3,133.32,3.29,2.53%,133.61,130.66,658000,"Friday, July 8, 2016",,141.08%
C,Citigroup Inc,6.87,41.98,0.69,1.67%,42.27,41.63,29468600,"Friday, July 8, 2016",,511.06%
CA,CA Inc,17.87,33.77,0.64,1.93%,33.8,33.16,2283900,"Friday, July 8, 2016",,88.98%
CAG,Conagra Foods,16.54,48.3,0.57,1.19%,48.35,47.88,3065600,"Friday, July 8, 2016",,192.02%
CAH,Cardinal Health,34.93,80.38,0.94,1.18%,80.44,79.34,2900400,"Friday, July 8, 2016",,130.12%
CAT,Caterpillar Inc,44.91,77.37,2.32,3.09%,77.43,75.78,5490600,"Friday, July 8, 2016",,72.28%
CB,Chubb Limited,53.2,130.24,1.61,1.25%,130.36,128.89,1112500,"Friday, July 8, 2016",,144.81%
CBG,CBRE Group Inc,4.43,26.2,1.58,6.42%,26.28,25.04,6080300,"Friday, July 8, 2016",,491.42%
CBS,CBS Corp,8.19,57.08,0.97,1.73%,57.11,56.25,3434500,"Friday, July 8, 2016",,596.95%
CCI,Crown Castle International Corp,17.47,102.2,0.69,0.68%,102.39,101.15,2450600,"Friday, July 8, 2016",,485.00%
CCL,Carnival Corp,24.18,44.52,0.7,1.60%,44.97,44.43,4181700,"Friday, July 8, 2016",,84.12%
CELG,Celgene Corp,54.94,105.03,0.62,0.59%,105.67,103.33,3369900,"Friday, July 8, 2016",,91.17%
CERN,Cerner Corp,38.58,60.62,1.01,1.69%,60.79,59.54,2362800,"Friday, July 8, 2016",,57.13%
CF,Cf Industries Holdings,49.38,24.86,1.36,5.79%,24.97,23.85,3839000,"Friday, July 8, 2016",,-49.66%
CFG,Citizens Financial Group Inc/Ri,,19.85,0.43,2.21%,20.01,19.52,8867101,"Friday, July 8, 2016",,#DIV/0!
CHD,Church & Dwight Company,56.15,101.3,0.64,0.64%,101.41,100.31,971800,"Friday, July 8, 2016",,80.41%
CHK,Chesapeake Energy Corp,16.24,4.24,0.01,0.24%,4.37,4.19,25547699,"Friday, July 8, 2016",,-73.89%
CHRW,C.H. Robinson Ww,55.25,74.43,1.07,1.46%,74.62,73.53,2164300,"Friday, July 8, 2016",,34.71%
CI,Cigna Corp,16.91,129.6,2.6,2.05%,129.9,126.4,2226300,"Friday, July 8, 2016",,666.41%
CINF,Cincinnati Financial,29.11,75.7,0.73,0.97%,75.77,75.02,565200,"Friday, July 8, 2016",,160.05%
CL,Colgate-Palmolive Company,68.47,74.25,0.85,1.16%,74.27,73.42,2921100,"Friday, July 8, 2016",,8.44%
CLX,Clorox Company,55.9,138.37,0.85,0.62%,138.46,137,991700,"Friday, July 8, 2016",,147.53%
CMA,Comerica Inc,20.49,41.5,1,2.47%,41.98,41.04,1864300,"Friday, July 8, 2016",,102.54%
CMCSA,Comcast Corp A,16.72,67.11,0.85,1.28%,67.18,66.3,13959200,"Friday, July 8, 2016",,301.38%
CME,CME Group Inc,204.5,98.9,0.75,0.76%,99.71,98.41,1469800,"Friday, July 8, 2016",,-51.64%
CMG,Chipotle Mexican Grill,61.89,399.71,8.93,2.29%,404.09,392.1,1070800,"Friday, July 8, 2016",,545.84%
CMI,Cummins Inc,26.82,114.7,3.44,3.09%,114.85,111.76,1069500,"Friday, July 8, 2016",,327.67%
CMS,Cms Energy Corp,10.18,45.51,0.25,0.55%,45.54,44.75,3010700,"Friday, July 8, 2016",,347.05%
CNC,Centene Corp,19.62,70.93,1.93,2.80%,71,69.16,1179900,"Friday, July 8, 2016",,261.52%
CNP,Centerpoint Energy Inc,12.76,23.9,0.38,1.62%,23.91,23.43,4040900,"Friday, July 8, 2016",,87.30%
COF,Capital One Financial Corp,31.8,64.71,2.82,4.56%,64.94,63.13,4948900,"Friday, July 8, 2016",,103.49%
COG,Cabot Oil & Gas Corp,26.32,25.44,0.02,0.08%,25.9,25.07,4312600,"Friday, July 8, 2016",,-3.34%
COH,Coach Inc,20.84,41.56,0.99,2.44%,41.68,40.73,4975100,"Friday, July 8, 2016",,99.42%
COL,Rockwell Collins,39.25,84.1,1.37,1.66%,84.53,83.33,935900,"Friday, July 8, 2016",,114.27%
COP,Conocophillips,51.98,42.3,0.79,1.90%,42.43,41.61,10801899,"Friday, July 8, 2016",,-18.62%
COST,Costco Wholesale,52.44,165.44,1.74,1.06%,166.1,164.49,3932000,"Friday, July 8, 2016",,215.48%
CPB,Campbell Soup Company,30.18,67.1,0.27,0.40%,67.12,66.01,1489400,"Friday, July 8, 2016",,122.33%
CRM,Salesforce.Com Inc,32.1,80.89,2.13,2.70%,81.1,79.3,3558900,"Friday, July 8, 2016",,151.99%
CSCO,Cisco Systems Inc,16.41,29.26,0.52,1.81%,29.28,28.88,24647301,"Friday, July 8, 2016",,78.31%
CSRA,Csra Inc. Common Stock When Iss,,24.01,0.24,1.01%,24.07,23.68,930100,"Friday, July 8, 2016",,#DIV/0!
CSX,CSX Corporation,32.57,26.53,0.65,2.51%,26.7,26.07,9883700,"Friday, July 8, 2016",,-18.54%
CTAS,Cintas Corp,23.23,99.63,0.87,0.88%,99.78,99.12,834700,"Friday, July 8, 2016",,328.89%
CTL,Centurylink,27.3,30.22,0.84,2.86%,30.23,29.47,5100800,"Friday, July 8, 2016",,10.70%
CTSH,Cognizant Tech Sol,17.78,57.93,1.09,1.92%,58.16,57.11,3658200,"Friday, July 8, 2016",,225.82%
CTXS,Citrix Systems Inc,23.57,83.54,2.85,3.53%,83.81,80.94,1730000,"Friday, July 8, 2016",,254.43%
CVS,CVS Corp,28.81,96.74,1.24,1.30%,96.82,95.59,3722600,"Friday, July 8, 2016",,235.79%
CVX,Chevron Corp,74.23,104.77,1.72,1.67%,104.97,103,9043600,"Friday, July 8, 2016",,41.14%
